X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ
11443993.0854301,603027.760026253,1845,PO1000010021,FGV HOLDINGS BERHAD,FGV PALM INDUSTRIES SDN BHD,CHALOK,Not RSPO Certified, ,2021/07/14 00:00:00+00,5.409038,102.803139,"5.409038, 102.803139",102.803139,5.409038,MYS,Malaysia,Trengganu,Setiu,1-Fully Verified, 
11599551.3871426,163194.699955685,1846,PO1000010022,FGV HOLDINGS BERHAD,FGV PALM INDUSTRIES SDN BHD,SENINNG,Not RSPO Certified, ,2021/07/14 00:00:00+00,1.465843,104.200543,"1.465843, 104.2005430",104.200543,1.465843,MYS,Malaysia,Johor,Kota Tinggi,1-Fully Verified,KS ADELA
-8833037.73215581,-3710.64986532252,1847,PO1000010023,UNKNOWN,ALCOPALMA S.A.,ALCOPALMA S.A.,Not RSPO Certified, ,2021/07/14 00:00:00+00,-0.033333333,-79.348528,"-0.033333333, -79.348528",-79.348528,-0.033333333,ECU,Ecuador,Santo Domingo de los Tsachilas,La Concordia,2-High Confidence, 
12410945.7081403,55946.4920107228,1848,PO1000010024,UNKNOWN,PERDANA SAWIT PLANTATION,ARGO MULYO,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.502569444,111.4894222,"0.502569444, 111.4894222",111.4894222,0.502569444,IDN,Indonesia,Kalimantan Barat,Sintang,1-Fully Verified, 
11444708.3131585,291547.702719218,1849,PO1000010025,KILANG KELAPA SAWIT SELUMPUR SDN BHD,KILANG KELAPA SAWIT SELUMPUR SDN BHD,KILANG KELAPA SAWIT SELUMPUR SDN BHD,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.618106,102.809564,"2.618106, 102.809564",102.809564,2.618106,MYS,Malaysia,Johor,Segamat,1-Fully Verified, 
12535995.7679421,-323471.106621124,1850,PO1000010026,WILMAR,SARANA TITIAN PERMATA,SARANA TITIAN PERMATA PKS 2,Not RSPO Certified, ,2021/07/14 00:00:00+00,-2.90454554,112.612766,"-2.90454553961, 112.612766",112.612766,-2.90454553961,IDN,Indonesia,Kalimantan Tengah,Seruyan,2-High Confidence,SARANA TITIAN PERMATA 2 (PERMATANG LIMAU)
12451670.4744297,295782.885186665,1851,PO1000010027,JAYA TIASA HOLDINGS BERHAD,HARIYAMA SDN BHD,HARIYAMA,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.656111,111.855259,"2.656111, 111.855259",111.855259,2.656111,MYS,Malaysia,Sarawak,Matu,1-Fully Verified, 
11208165.8611303,188986.298709759,1852,PO1000010028,UNKNOWN,BALAM SAWIT SEJAHTERA,BALAM SAWIT SEJAHTERA,Not RSPO Certified, ,2021/07/14 00:00:00+00,1.697444444,100.684667,"1.697444444, 100.684667",100.684667,1.697444444,IDN,Indonesia,Riau,Rokan Hilir,1-Fully Verified, 
12478708.4202705,-291929.860314953,1853,PO1000010029,BEST INDUSTRY,WANA SAWIT SUBUR LESTARI,WANA SAWIT SUBUR LESTARI 2,Not RSPO Certified, ,2021/07/14 00:00:00+00,-2.621535392,112.098145,"-2.62153539209, 112.098145",112.098145,-2.62153539209,IDN,Indonesia,Kalimantan Tengah,Seruyan,1-Fully Verified, 
11043171.7854197,312097.34487753,1854,PO1000010030,UNKNOWN,SUMBER BUMI SAWIT JADI RAYA,SUMBER BUMI SAWIT JADI RAYA,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.8025,99.2025,"2.8025, 99.2025",99.2025,2.8025,IDN,Indonesia,Sumatera Utara,Simalungun,1-Fully Verified, 
