"location_name","base_latitude","base_longitude"
"Pulau Sibu",2.2263,104.0624
"Desaru",1.5403,104.2681
"Taman Nasional Kinabalu",6.2073,116.6409
"Pulau Sipadan",4.1163,118.6274
"Kedah",6.0499,100.5296
"Pulau Pinang",5.2632,100.4846
"Perak",4.8073,100.8
"Kelantan",5.1151,101.8892
"Terengganu",5.0936,102.9896
"Pahang",3.9743,102.4381
"Selangor",3.5092,101.5248
"WP Kuala Lumpur",3.1319,101.6841
"WP Putrajaya",2.9264,101.6964
"Negeri Sembilan",2.8707,102.2548
"Melaka",2.1896,102.2501
"Johor",1.9344,103.3587
"Sarawak",2.5574,113.0012
"Sabah",5.4204,116.7968
"WP Labuan",5.2831,115.2308
"Jitra",6.2644,100.4202
"Alor Star",6.1263,100.3672
"Kuala Nerang",6.2528,100.6072
"Sungai Petani",5.6436,100.4894
"Balik Pulau",5.3507,100.2348
"Ayer Itam",5.4027,100.2782
"Kepala Batas",5.5172,100.4315
"Georgetown",5.4141,100.3285
"Butterworth",5.438,100.3882
"Bayan Lepas",5.2945,100.2593
"Perai",5.3773,100.4001
"Bukit Tengah",5.345,100.4642
"Bukit Mertajam",5.3655,100.459
"Batu Kawan",5.2704,100.4197
"Nibong Tebal",5.1701,100.4792
"Serdang",5.2101,100.6124
"Parit Buntar",5.1296,100.4907
"Selama",4.8537,100.7436
"Bagan Serai",5.0081,100.5394
"Gerik",5.4278,101.1276
"Lenggong",5.1084,100.968
"Taiping",4.8526,100.7424
"Rantau Panjang",6.0116,101.9784
"Sungai Siput",4.819,101.0737
"Sitiawan",4.2168,100.6978
"Ipoh",4.6005,101.0758
"Batu Gajah",4.4723,101.0412
"Seri Iskandar",4.359,100.9849
"Gopeng",4.4717,101.1654
"Jerteh",5.7376,102.4949
"Teluk Intan",4.0224,101.026
"Tapah",4.1977,101.2615
"Bandar Permaisuri",5.5191,102.7464
"Slim River",3.83,101.4046
"Kuala Lipis",4.1843,102.0542
"Kuala Kubu Bharu",3.5609,101.6585
"Rawang",3.3205,101.5759
"Selayang",3.2637,101.6538
"Pelabuhan Klang",2.9999,101.3928
"Kepong",3.214,101.6356
"Batu Caves",3.2379,101.684
"Shah Alam",3.0733,101.5185
"Sentul",3.2066,101.682
"Jalan Duta",3.17,101.6537
"Damansara",3.0941,101.5475
"Setapak",3.2791,101.741
"Petaling Jaya",3.1279,101.5945
"Subang Jaya",3.0567,101.5851
"Bangsar",3.129,101.6798
"Bukit Bintang",3.1468,101.7113
"Ampang",3.1665,101.7483
"Sungai Besi",3.0574,101.7179
"Banting",2.8121,101.5026
"Seri Kembangan",3.022,101.7055
"Cheras",3.1068,101.7259
"Cyberjaya",2.9213,101.6559
"Paka",4.6266,103.44
"Kajang",2.9933,101.7878
"Mentakab",3.4846,102.3503
"Bangi",2.9198,101.7809
"Semenyih",2.9474,101.8451
"Kertih",4.5079,103.443
"Nilai",2.8025,101.7989
"Kuala Klawang",2.9384,102.0691
"Triang",3.2476,102.4161
"Masjid Tanah",2.3519,102.1082
"Tangga Batu",2.2506,102.1583
"Durian Tunggal",2.3124,102.2819
"Muadzam Shah",3.0562,103.0852
"Gemas",2.5816,102.6125
"Ayer Keroh",2.2699,102.2945
"Bandaraya Melaka",2.1896,102.2501
"Merlimau",2.1452,102.4224
"Pagoh",2.1492,102.7722
"Labis",2.3823,103.0201
"Kuala Rompin",2.8006,103.4861
"Yong Peng",2.012,103.0582
"Ayer Hitam",1.9183,103.18
"Simpang Renggam",1.8273,103.31
"Senai",1.602,103.6444
"Iskandar Puteri",1.42,103.6305
"Pasir Gudang",1.4703,103.903
"Lojing",4.6355,101.4649
